
PLAYER	2013/14 	2013/14(*)
169.	Quentin Richardson	$4,208,107	$4,896,385
170.	Raymond Felton	$4,180,000	$4,863,682
171.	Greg Monroe	$4,086,453	$4,754,834
172.	Kirk Hinrich	$4,059,000	$4,722,891
173.	Ricky Rubio	$4,002,120	$4,656,708
174.	Brandon Rush	$4,000,000	$4,654,241
174.	Mario Chalmers	$4,000,000	$4,654,241
174.	Ian Mahinmi	$4,000,000	$4,654,241
174.	Steve Blake	$4,000,000	$4,654,241
174.	Elton Brand	$4,000,000	$4,654,241
179.	Matt Bonner	$3,945,000	$4,590,245
180.	Thabo Sefolosha	$3,900,000	$4,537,885
181.	Dion Waiters	$3,894,240	$4,531,183
182.	Cody Zeller	$3,857,040	$4,487,898
183.	Joel Anthony	$3,800,000	$4,421,529
184.	Danny Green	$3,762,500	$4,377,895
185.	Steve Novak	$3,750,001	$4,363,352
186.	Samuel Dalembert	$3,700,748	$4,306,043
187.	Al-Farouq Aminu	$3,700,000	$4,305,173
188.	Jonas Valanciunas	$3,526,440	$4,103,225
188.	Thomas Robinson	$3,526,440	$4,103,225
190.	Jan Vesely	$3,524,880	$4,101,410
191.	Gerald Green	$3,500,000	$4,072,461
191.	Jordan Hill	$3,500,000	$4,072,461
191.	Marreese Speights	$3,500,000	$4,072,461
194.	Alex Len	$3,492,720	$4,063,990
195.	Gordon Hayward	$3,452,183	$4,016,823
196.	Marcus Camby	$3,383,773	$3,937,224
197.	Paul George	$3,282,003	$3,818,808
198.	Shane Battier	$3,270,000	$3,804,842
199.	Carlos Delfino	$3,250,000	$3,781,571
199.	Matt Barnes	$3,250,000	$3,781,571
199.	Alonzo Gee	$3,250,000	$3,781,571
199.	Gary Neal	$3,250,000	$3,781,571
203.	Klay Thompson	$3,245,151	$3,775,929
204.	Darrell Arthur	$3,231,683	$3,760,258
205.	Ray Allen	$3,229,050	$3,757,194
205.	Mirza Teletovic	$3,229,050	$3,757,194
207.	Bismack Biyombo	$3,217,680	$3,743,964
208.	Damian Lillard	$3,202,920	$3,726,790
209.	Tyler Hansbrough	$3,183,000	$3,703,612
209.	Chris Kaman	$3,183,000	$3,703,612
209.	Andrei Kirilenko	$3,183,000	$3,703,612
212.	Vince Carter	$3,180,000	$3,700,121
213.	Nerlens Noel	$3,172,320	$3,691,185
214.	Ed Davis	$3,153,860	$3,669,706
215.	Jerryd Bayless	$3,135,000	$3,647,761
216.	Lavoy Allen	$3,120,000	$3,630,308
217.	Patrick Patterson	$3,105,301	$3,613,205
218.	Alexey Shved	$3,066,667	$3,568,252
219.	Larry Sanders	$3,053,368	$3,552,777
220.	Dorell Wright	$3,000,000	$3,490,681
220.	Joel Freeland	$3,000,000	$3,490,681
220.	Kwame Brown	$3,000,000	$3,490,681
220.	Kosta Koufos	$3,000,000	$3,490,681
220.	Chris Copeland	$3,000,000	$3,490,681
220.	Randy Foye	$3,000,000	$3,490,681
220.	Mike Dunleavy	$3,000,000	$3,490,681
227.	Brandon Knight	$2,947,800	$3,429,943
228.	Harrison Barnes	$2,923,920	$3,402,157
229.	Ben McLemore	$2,895,960	$3,369,624
230.	Jimmer Fredette	$2,813,399	$3,273,559
231.	Will Bynum	$2,790,343	$3,246,732
232.	Kevin Seraphin	$2,761,113	$3,212,721
233.	Marco Belinelli	$2,750,000	$3,199,791
234.	Kemba Walker	$2,709,720	$3,152,922
235.	Terrence Ross	$2,678,640	$3,116,759
236.	Greg Stiemsma	$2,676,000	$3,113,687
237.	Kentavious Caldwell-Pope	$2,653,080	$3,087,018
238.	Maurice Williams	$2,652,000	$3,085,762
238.	Josh McRoberts	$2,652,000	$3,085,762
240.	Eric Bledsoe	$2,626,473	$3,056,059
241.	Aaron Gray	$2,612,500	$3,039,801
242.	Nick Collison	$2,585,668	$3,008,580
243.	Avery Bradley	$2,511,432	$2,922,202
244.	Jason Maxiell	$2,500,000	$2,908,900
244.	Jason Smith	$2,500,000	$2,908,900
244.	Chauncey Billups	$2,500,000	$2,908,900
244.	Wayne Ellington	$2,500,000	$2,908,900
244.	DeMarre Carroll	$2,500,000	$2,908,900
249.	Andre Drummond	$2,462,400	$2,865,151
250.	Trey Burke	$2,438,760	$2,837,644
251.	Trevor Booker	$2,350,820	$2,735,320
252.	Austin Rivers	$2,339,040	$2,721,614
253.	Alec Burks	$2,323,200	$2,703,183
254.	CJ McCollum	$2,316,720	$2,695,643
255.	Quincy Pondexter	$2,225,478	$2,589,477
256.	CJ Miles	$2,225,000	$2,588,921
257.	Meyers Leonard	$2,222,160	$2,585,617
258.	Markieff Morris	$2,207,040	$2,568,024
259.	Michael Carter-Williams	$2,200,920	$2,560,903
260.	Dante Cunningham	$2,180,000	$2,536,561
261.	Jordan Crawford	$2,162,418	$2,516,103
262.	Greivis Vasquez	$2,150,188	$2,501,873
263.	Jeremy Lamb	$2,111,160	$2,456,462
264.	Marcus Morris	$2,096,760	$2,439,706
265.	Steven Adams	$2,090,880	$2,432,865
266.	Eric Maynor	$2,016,000	$2,345,737
266.	CJ Watson	$2,016,000	$2,345,737
266.	Nate Robinson	$2,016,000	$2,345,737
269.	Jermaine O'Neal	$2,000,000	$2,327,120
269.	Vitor Faverani	$2,000,000	$2,327,120
271.	Kawhi Leonard	$1,991,760	$2,317,532
272.	Kelly Olynyk	$1,986,360	$2,311,249
273.	John Henson	$1,905,360	$2,217,001
274.	Darren Collison	$1,900,000	$2,210,764
275.	Nikola Vucevic	$1,892,280	$2,201,782
276.	Shabazz Muhammad	$1,887,120	$2,195,778
277.	Moe Harkless	$1,809,840	$2,105,858
278.	Iman Shumpert	$1,797,600	$2,091,616
279.	Giannis Antetokounmpo	$1,792,560	$2,085,751
280.	Royce White	$1,777,148	$2,067,818
281.	Jeff Ayres	$1,750,000	$2,036,230
281.	Gigi Datome	$1,750,000	$2,036,230
281.	Anthony Randolph	$1,750,000	$2,036,230
284.	Chris Singleton	$1,707,720	$1,987,035
285.	Reggie Evans	$1,695,636	$1,972,974
286.	Jeremy Evans	$1,660,000	$1,931,510
287.	Tyler Zeller	$1,633,440	$1,900,606
288.	Tobias Harris	$1,630,800	$1,897,534
289.	Dennis Schroeder	$1,617,840	$1,882,454
290.	John Lucas	$1,600,000	$1,861,696
290.	Ronny Turiaf	$1,600,000	$1,861,696
290.	Toney Douglas	$1,600,000	$1,861,696
293.	Pablo Prigioni	$1,591,350	$1,851,631
294.	Terrence Jones	$1,551,840	$1,805,659
295.	Jodie Meeks	$1,550,000	$1,803,518
296.	Shane Larkin	$1,536,960	$1,788,345
297.	Vyacheslav Kravtsov	$1,500,000	$1,745,340
297.	James Jones	$1,500,000	$1,745,340
297.	Chris Duhon	$1,500,000	$1,745,340
297.	Gustavo Ayon	$1,500,000	$1,745,340
301.	Andrew Nicholson	$1,482,000	$1,724,396
302.	Sergey Karasev	$1,467,840	$1,707,920
303.	Nando De Colo	$1,463,000	$1,702,288
304.	Kenneth Faried	$1,442,880	$1,678,877
305.	Donatas Motiejunas	$1,422,720	$1,655,420
305.	Evan Fournier	$1,422,720	$1,655,420
307.	Tony Snell	$1,409,040	$1,639,503
308.	Earl Watson	$1,399,507	$1,628,410
308.	Derek Fisher	$1,399,507	$1,628,410
308.	Kenyon Martin	$1,399,507	$1,628,410
308.	Rashard Lewis	$1,399,507	$1,628,410
308.	Willie Green	$1,399,507	$1,628,410
308.	Rasual Butler	$1,399,507	$1,628,410
308.	Nazr Mohammed	$1,399,507	$1,628,410
308.	Jannero Pargo	$1,399,507	$1,628,410
308.	Antawn Jamison	$1,399,507	$1,628,410
317.	Jared Sullinger	$1,365,720	$1,589,097
318.	Gorgui Dieng	$1,352,640	$1,573,878
319.	Scotty Hopson	$1,350,000	$1,570,806
320.	Reggie Jackson	$1,329,720	$1,547,209
321.	Victor Claver	$1,311,240	$1,525,706
321.	Fab Melo	$1,311,240	$1,525,706
323.	Jared Cunningham	$1,301,208	$1,514,033
324.	Mason Plumlee	$1,298,640	$1,511,046
325.	MarShon Brooks	$1,276,560	$1,485,354
326.	Roger Mason	$1,272,279	$1,480,373
326.	Beno Udrih	$1,272,279	$1,480,373
326.	Devin Harris	$1,272,279	$1,480,373
329.	Ronnie Price	$1,265,977	$1,473,040
329.	Francisco Garcia	$1,265,977	$1,473,040
329.	Shaun Livingston	$1,265,977	$1,473,040
332.	John Jenkins	$1,258,800	$1,464,689
333.	Ronnie Brewer	$1,256,250	$1,461,722
334.	Solomon Hill	$1,246,680	$1,450,587
335.	Jordan Hamilton	$1,234,320	$1,436,205
336.	Hasheem Thabeet	$1,200,000	$1,396,272
336.	Pero Antic	$1,200,000	$1,396,272
338.	Tim Hardaway Jr	$1,196,760	$1,392,502
339.	Norris Cole	$1,191,240	$1,386,079
340.	Ryan Hollins	$1,186,459	$1,380,516
341.	Cory Joseph	$1,182,600	$1,376,026
342.	Jimmy Butler	$1,174,080	$1,366,112
343.	Tony Wroten	$1,160,040	$1,349,776
344.	Reggie Bullock	$1,149,000	$1,336,930
345.	Patrick Mills	$1,133,950	$1,319,419
346.	Miles Plumlee	$1,121,520	$1,304,956
347.	Andre Roberson	$1,110,840	$1,292,529
348.	Jordan Farmar	$1,106,942	$1,287,993
348.	Nick Young	$1,106,942	$1,287,993
350.	Arnett Moultrie	$1,089,240	$1,267,396
351.	Perry Jones	$1,082,520	$1,259,577
352.	Rudy Gobert	$1,078,800	$1,255,248
353.	Marquis Teague	$1,074,720	$1,250,501
354.	Festus Ezeli	$1,066,920	$1,241,425
355.	Archie Goodwin	$1,064,400	$1,238,493
356.	Nemanja Nedovic	$1,056,720	$1,229,557
357.	Kyle Singler	$1,045,000	$1,215,920
358.	Anthony Morrow	$1,027,424	$1,195,469
358.	Greg Oden	$1,027,424	$1,195,469
358.	Aaron Brooks	$1,027,424	$1,195,469
361.	Cartier Martin	$1,003,248	$1,167,339
362.	Richard Hamilton	$1,000,000	$1,163,560
363.	Ishmael Smith	$985,000	$1,146,106
364.	Lance Stephenson	$981,349	$1,141,858
365.	Austin Daye	$947,907	$1,102,947
365.	BJ Mullens	$947,907	$1,102,947
365.	AJ Price	$947,907	$1,102,947
365.	Omri Casspi	$947,907	$1,102,947
365.	Alan Anderson	$947,907	$1,102,947
370.	Darius Morris	$944,923	$1,099,473
371.	DeJuan Blair	$941,000	$1,094,910
