PLAYER	2019/20 	2019/20(*)
249.	Nickeil Alexander-Walker	$2,964,840	$3,144,865
250.	DJ Wilson	$2,961,120	$3,140,919
251.	Cedi Osman	$2,907,143	$3,083,664
252.	Donte DiVincenzo	$2,905,800	$3,082,240
253.	Bryn Forbes	$2,875,000	$3,049,569
254.	Goga Bitadze	$2,816,760	$2,987,793
255.	TJ Leaf	$2,813,280	$2,984,102
256.	Lonnie Walker	$2,764,200	$2,932,042
257.	Alex Caruso	$2,750,000	$2,916,979
258.	Malik Beasley	$2,731,713	$2,897,582
259.	Luka Samanic	$2,689,920	$2,853,251
260.	John Collins	$2,686,560	$2,849,687
261.	Kevin Huerter	$2,636,280	$2,796,354
262.	Caris LeVert	$2,625,717	$2,785,150
263.	Marko Guduric	$2,625,000	$2,784,389
264.	DeAndre Bembry	$2,603,981	$2,762,094
265.	Matisse Thybulle	$2,582,160	$2,738,948
266.	Harry Giles	$2,578,800	$2,735,384
267.	Wesley Matthews	$2,564,753	$2,720,484
267.	Kyle Korver	$2,564,753	$2,720,484
267.	Udonis Haslem	$2,564,753	$2,720,484
267.	Jared Dudley	$2,564,753	$2,720,484
267.	Rajon Rondo	$2,564,753	$2,720,484
267.	Dwight Howard	$2,564,753	$2,720,484
267.	Tyson Chandler	$2,564,753	$2,720,484
267.	Thabo Sefolosha	$2,564,753	$2,720,484
267.	Jose Juan Barea	$2,564,753	$2,720,484
267.	Wilson Chandler	$2,564,753	$2,720,484
267.	Vince Carter	$2,564,753	$2,720,484
278.	Josh Okogie	$2,530,680	$2,684,342
279.	Vincent Poirier	$2,505,793	$2,657,944
280.	Rondae Hollis-Jefferson	$2,500,000	$2,651,799
281.	Brandon Clarke	$2,478,840	$2,629,355
282.	Terrance Ferguson	$2,475,840	$2,626,172
283.	Grayson Allen	$2,429,400	$2,576,913
284.	Alfonzo McKinnie	$2,391,985	$2,537,226
285.	Grant Williams	$2,379,840	$2,524,343
286.	Jarrett Allen	$2,376,840	$2,521,161
287.	Pascal Siakam	$2,351,838	$2,494,641
288.	Skal Labissiere	$2,338,846	$2,480,860
289.	Chandler Hutchison	$2,332,320	$2,473,938
290.	Patrick Patterson	$2,331,593	$2,473,167
291.	Dejounte Murray	$2,321,735	$2,462,710
292.	Alec Burks	$2,320,044	$2,460,917
293.	Damian Jones	$2,305,057	$2,445,020
294.	Darius Bazley	$2,284,800	$2,423,533
295.	OG Anunoby	$2,281,800	$2,420,350
295.	Ante Zizic	$2,281,800	$2,420,350
297.	Markieff Morris	$2,259,887	$2,397,107
298.	Luke Kornet	$2,250,000	$2,386,619
299.	Aaron Holiday	$2,239,200	$2,375,164
300.	Ty Jerome	$2,193,480	$2,326,668
301.	Willie Cauley-Stein	$2,177,483	$2,309,699
302.	Kyle O'Quinn	$2,174,318	$2,306,342
303.	Austin Rivers	$2,174,310	$2,306,334
304.	Carmelo Anthony	$2,159,029	$2,290,125
305.	Anfernee Simons	$2,149,560	$2,280,081
306.	Nassir Little	$2,105,520	$2,233,367
307.	Moritz Wagner	$2,063,520	$2,188,816
308.	Dylan Windler	$2,035,800	$2,159,413
309.	Caleb Swanigan	$2,033,160	$2,156,613
310.	Michael Carter-Williams	$2,028,594	$2,151,770
310.	Mike Muscala	$2,028,594	$2,151,770
310.	Ben McLemore	$2,028,594	$2,151,770
313.	Edmond Sumner	$2,000,000	$2,121,439
313.	Torrey Craig	$2,000,000	$2,121,439
313.	Noah Vonleh	$2,000,000	$2,121,439
316.	Landry Shamet	$1,995,120	$2,116,263
317.	Mfiondu Kabengele	$1,977,000	$2,097,043
318.	Kyle Kuzma	$1,974,600	$2,094,497
319.	Jordan Poole	$1,964,760	$2,084,060
320.	Tony Bradley	$1,962,360	$2,081,514
321.	Keldon Johnson	$1,950,600	$2,069,040
322.	Derrick White	$1,948,080	$2,066,367
323.	Robert Williams	$1,937,520	$2,055,166
324.	Josh Hart	$1,934,160	$2,051,602
325.	Jacob Evans	$1,925,880	$2,042,819
326.	Dzanan Musa	$1,911,600	$2,027,672
327.	Omari Spellman	$1,897,800	$2,013,034
328.	Glenn Robinson III	$1,882,867	$1,997,194
328.	James Ennis	$1,882,867	$1,997,194
328.	Nerlens Noel	$1,882,867	$1,997,194
331.	Shabazz Napier	$1,845,301	$1,957,347
331.	Bruno Caboclo	$1,845,301	$1,957,347
333.	JR Smith	$1,746,470	$1,852,514
334.	Emmanuel Mudiay	$1,737,145	$1,842,624
334.	Mario Hezonja	$1,737,145	$1,842,624
334.	Raul Neto	$1,737,145	$1,842,624
334.	JaKarr Sampson	$1,737,145	$1,842,624
338.	Pat Connaughton	$1,723,050	$1,827,673
339.	Jahlil Okafor	$1,702,486	$1,805,860
340.	Rodions Kurucs	$1,699,236	$1,802,413
341.	Cheick Diallo	$1,678,854	$1,780,793
342.	Willy Hernangomez	$1,676,735	$1,778,546
343.	Georges Niang	$1,645,357	$1,745,263
