	PLAYER	2016/17 	2016/17(*)
238.	Will Barton	$3,533,333	$3,983,073
239.	Paul Pierce	$3,527,920	$3,976,971
240.	Buddy Hield	$3,517,200	$3,964,887
241.	Brandon Rush	$3,500,000	$3,945,497
241.	Lavoy Allen	$3,500,000	$3,945,497
241.	Mike Miller	$3,500,000	$3,945,497
244.	Anthony Morrow	$3,488,000	$3,931,970
245.	Trey Burke	$3,386,597	$3,817,660
246.	Kevin Martin	$3,336,000	$3,760,623
247.	Mike Scott	$3,333,333	$3,757,616
247.	KJ McDaniels	$3,333,333	$3,757,616
249.	Troy Daniels	$3,332,940	$3,757,173
250.	Julius Randle	$3,267,120	$3,682,975
251.	Ronnie Price	$3,251,227	$3,665,059
252.	Emmanuel Mudiay	$3,241,800	$3,654,432
253.	CJ McCollum	$3,219,579	$3,629,383
254.	Jamal Murray	$3,210,840	$3,619,532
255.	Patrick Mills	$3,200,000	$3,607,312
256.	Michael Carter-Williams	$3,183,526	$3,588,741
257.	Omri Casspi	$3,149,524	$3,550,411
258.	Steven Adams	$3,140,517	$3,540,258
259.	Kelly Olynyk	$3,094,013	$3,487,834
260.	Shabazz Muhammad	$3,046,299	$3,434,047
261.	Dante Cunningham	$3,000,000	$3,381,855
261.	Justin Hamilton	$3,000,000	$3,381,855
263.	Giannis Antetokounmpo	$2,995,420	$3,376,692
264.	Nik Stauskas	$2,993,040	$3,374,009
265.	Stanley Johnson	$2,969,880	$3,347,901
266.	Quincy Acy	$2,965,505	$3,342,968
267.	Marquese Chriss	$2,941,440	$3,315,841
268.	Dewayne Dedmon	$2,898,000	$3,266,872
268.	Mindaugas Kuzminskas	$2,898,000	$3,266,872
268.	Dion Waiters	$2,898,000	$3,266,872
268.	James Ennis	$2,898,000	$3,266,872
268.	Nenê	$2,898,000	$3,266,872
268.	Zaza Pachulia	$2,898,000	$3,266,872
268.	Seth Curry	$2,898,000	$3,266,872
275.	Tomas Satoransky	$2,870,813	$3,236,224
276.	Tibor Pleiss	$2,800,000	$3,156,398
277.	Noah Vonleh	$2,751,360	$3,101,567
278.	Frank Kaminsky	$2,730,000	$3,077,488
279.	Dennis Schroeder	$2,708,582	$3,053,344
280.	Jakob Poeltl	$2,703,960	$3,048,133
